source,date,rating,text,author,clean_text,word_count
Play Store,2026-07-15 21:59:09,1,i ordered food everytime I got feel bad luck for myself and Swiggy users too ...the restaurant on the Swiggy even don't provide curtley because they don't have ...almost dhabas are registered... no hiegiene almost 0 food quality 0 packaging even don't know how to surve a customer,Sandeep Tanwar,i ordered food everytime i got feel bad luck for myself and swiggy users too ...the restaurant on the swiggy even don't provide curtley because they don't have ...almost dhabas are registered... no hiegiene almost 0 food quality 0 packaging even don't know how to surve a customer,48
Play Store,2026-07-15 21:56:47,5,Accurate readings make me feel more prepared for the future.,Doraemon Nobita,accurate readings make me feel more prepared for the future.,10
Play Store,2026-07-15 21:54:17,1,order not received given to other person. not responding to calls. pl. remit my amount back to my account.,A N Srinivasa Rao,order not received given to other person. not responding to calls. pl. remit my amount back to my account.,19
Play Store,2026-07-15 21:51:15,1,no support anymore... late order... different items received..they don't give a damn... not worth the commission they are getting!!!,Puneet Sharma,no support anymore... late order... different items received..they don't give a damn... not worth the commission they are getting!!!,19
Play Store,2026-07-15 21:46:34,5,very user friendly application with lots of offers and food options,Surya Prakash,very user friendly application with lots of offers and food options,11
Play Store,2026-07-15 21:38:57,1,I didn't receive my order and in application it's showing delivered connect with customer support but didn't get any solution yet,Nasir Shaikh,i didn't receive my order and in application it's showing delivered connect with customer support but didn't get any solution yet,21
Play Store,2026-07-15 21:33:58,4,It's still the best app for ordering food. only issue is it does not allows to change rating or write review if one forgets for restaurants.,Amar Harode,it's still the best app for ordering food. only issue is it does not allows to change rating or write review if one forgets for restaurants.,26
Play Store,2026-07-15 21:33:13,1,for readymade items too cancellation with in a minute is 100% cancellation charges. draconian one way polices,Sasidhar V,for readymade items too cancellation with in a minute is 100% cancellation charges. draconian one way polices,17
Play Store,2026-07-15 21:31:49,1,horrible customer service. and now ai chat bots make it extremely difficult to navigate,Vivienne Sarky,horrible customer service. and now ai chat bots make it extremely difficult to navigate,14
Play Store,2026-07-15 21:22:43,1,very bad service if my order is not delivered by delivery partner then Swiggy can reorder but no Swiggy didn't do it because I ordered by discount thats why Swiggy didn't reordered.,Shivam Pandey,very bad service if my order is not delivered by delivery partner then swiggy can reorder but no swiggy didn't do it because i ordered by discount thats why swiggy didn't reordered.,32
Play Store,2026-07-15 21:18:57,1,bad quality items.... i order litchi ....i recieved damaged fruit with experience lot of time,Shwetha G,bad quality items.... i order litchi ....i recieved damaged fruit with experience lot of time,15
